Track,Artist,Release Date,ISRC,All Time Rank,Spotify,YouTube,TikTok,Pandora,Soundcloud,Shazam
MILLION DOLLAR BABY,Tommy Richman,4/26/2024,QM24S2402528,1,"390,470,936","84,274,754","5,332,281,936","18,004,655","4,818,457","2,669,262"
Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,"323,703,884","116,347,040","208,339,025","7,780,028","6,623,075","1,118,279"
i like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,"601,309,283","122,599,116","3,369,120,610","5,022,621","7,208,651","5,285,340"
Flowers,Miley Cyrus,1/12/2023,USSM12209777,4,"2,031,280,633","1,096,100,899","14,603,725,994","190,260,277",,"11,822,942"
Houdini,Eminem,5/31/2024,USUG12403398,5,"107,034,922","77,373,957",,"4,493,884","207,179","457,017"
Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,"670,665,438","131,148,091","2,938,686,633","138,529,362","9,438,601","4,517,131"
Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,"900,158,751","308,723,145","534,915,313","65,447,476",,"9,990,302"
Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,"675,079,153","228,382,568","3,804,584,163","3,372,428",,"6,063,523"
Danza Kuduro - Cover,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,"1,653,018,119",,,,,
BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,"90,676,573","32,735,244","974,656,200","1,005,626","3,679,709","666,302"
I Had Some Help (feat. Morgan Wallen),Post Malone,5/10/2024,USUM72404990,11,"250,080,413","32,229,063","2,100,000","23,155,471","1,594,605","963,413"
The Door,Teddy Swims,6/14/2024,USWB12402486,12,"111,155,129",,,,,
LUNCH,Billie Eilish,5/17/2024,USUM72401991,13,"221,636,195","40,022,524","360,017,000","1,354,692","1,313,357","450,344"
Like That,Future,3/22/2024,USSM12402041,14,"355,186,436","98,081,493",,"26,252,264","12,038,034","1,963,314"
bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,"297,185","6,736,502,312","22,234",,,"3,288"
LALA,Myke Towers,3/22/2023,USWL12300002,16,"925,655,569","934,302,031","7,499,234,052","12,171,026","871,978","2,765,808"
Fortnight (feat. Post Malone),Taylor Swift,4/18/2024,USUG12401028,17,"395,433,400","104,673,836","207,317,000","9,961,769","377,734","1,210,029"
greedy,Tate McRae,9/14/2023,USRC12301932,18,"1,258,569,694","141,646,818","5,456,156,211","44,850,379",,"6,973,652"
BLUE,Billie Eilish,5/17/2024,USUM72401996,19,"91,272,461","16,038,053","1,225,345,800","283,089","975,891","257,661"
As It Was,Harry Styles,3/31/2022,USSM12200612,20,"3,301,814,535","800,899,315","15,405,881,843","132,624,772",,"14,967,379"
Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,"1,065,399,331","240,970,670","7,095,564,106","70,291,476",,"7,559,816"
Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,"547,882,871","107,550,212","1,379,499,000","10,362,898","1,551,157","1,373,085"
Danza Kuduro - Cover,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,"1,655,575,417",,,,,
TEXAS HOLD 'EM,Beyoncï¿½,2/10/2024,USSM12401302,24,"426,700,979","35,724,356","6,518,604,175","13,860,535",,"2,100,708"
Future,official sound studio,1/10/2024,RUA1H2415548,25,,,"4,306,269,694",,,
Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,"7,382,759","4,233,958","22,918,660,728",,,"633,525"
STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,"3,107,100,349","1,256,973,582","23,712,377,029","196,783,487","36,341,585",
Baby Shark,Pinkfong,12/1/2015,KRE671700001,28,"720,822,868","16,322,756,555","6,577,639,193","86,458,847",,"2,064,420"
we can't be friends (wait for your love),Ariana Grande,3/8/2024,USUM72317276,29,"591,068,364","156,882,014",,"10,106,573","1,612,479","1,579,980"
Numb / Encore,JAY-Z,4/12/2024,USWB12400678,30,"1,003,215,671",,,"179,867,721",,"4,474,248"
Danza Kuduro - Cover,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,"1,645,079,292",,,,,
SHEESH,BABYMONSTER,4/1/2024,KRA402400016,32,"124,893,397","359,896,095","390,081,328","130,743","265,670","191,867"
Water,Tyla,7/28/2023,USSM12305126,33,"670,376,179","265,180,930","3,932,956,380","40,418,532","6,049,784","6,447,136"
Strangers,Kenya Grace,9/1/2023,USWB12305048,34,"750,154,960","118,208,096","2,231,749,390","20,228,317","10,938,075","7,477,917"
Too Sweet,Hozier,3/22/2024,USSM12401865,35,"532,012,790","62,123,098",,"31,032,977","1,516,649",
What's Love Got to Do with It - 2023 Remaster,Tina Turner,4/26/2024,GBAYE2300351,36,"479,417,905",,,"121,250,721",,"3,692,067"
A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,"311,928,522","62,694,868","378,313,942","21,453,034","4,482,348","1,707,213"
Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,"775,135,157","139,180,960","597,513,595","253,538,985","5,409,388","10,517,831"
fukumean,Gunna,6/15/2023,USAT22306575,39,"759,998,727","94,699,547","3,281,790,327","64,456,799","33,130,829","3,945,184"
Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,"3,071,214,106","3,366,447,481","5,861,939,942","373,294,159","37,430,204","44,842,636"
BIRDS OF A FEATHER,Billie Eilish,5/17/2024,USUM72401994,41,"214,237,645","11,033,725","443,104,700","840,442","1,369,981","285,858"
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,KRA252300672,42,"170,970,614","22,280,037","12,196,985,599","270,610",,
I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,"1,658,229,422","466,080,689","1,051,836,430","139,926,990","8,007,236","10,973,120"
Daylight,David Kushner,4/14/2023,QZXDB2300005,44,"1,126,820,069","274,070,101","2,578,518,632","28,924,685","9,505,098","8,681,350"
My Love Mine All Mine,Mitski,9/15/2023,USJ5G2335007,45,"997,702,304","48,093,111","5,469,808,282","6,151,267","7,980,051","2,682,219"
